"age","year","number"
"16","2005",1645.80228228298
"17","2005",3414.51557190541
"18","2005",5087.84503451039
"19","2005",648.218772984544
"20","2005",9212.60474204618
"1","2006",1590455.15911226
"2","2006",327867.500697569
"3","2006",641061.103235828
"4","2006",80665.8540948648
"5","2006",235585.216494092
"6","2006",156706.749891178
"7","2006",1431473.21824809
"8","2006",157961.424772743
"9","2006",51398.0700262352
"10","2006",50935.2165174987
"11","2006",30863.1765935079
"12","2006",32342.6792747213
"13","2006",20302.5614643355
"14","2006",5450.56210456864
"15","2006",5760.97276751603
"16","2006",6418.79411282232
"17","2006",1049.7312672508
"18","2006",2177.85805556902
"19","2006",3245.14680356603
"20","2006",6289.46433967208
"1","2007",1411649.99955415
"2","2007",1261143.95161513
"3","2007",250329.585875789
"4","2007",458176.275074442
"5","2007",55346.7293238745
"6","2007",141126.71512278
"7","2007",93479.1647247035
"8","2007",853906.553869176
"9","2007",94227.6070222507
"10","2007",30660.125730709
"11","2007",30384.0230139042
"12","2007",18410.5915712987
"13","2007",19293.1487996493
"14","2007",12110.9428201144
"15","2007",3251.38510733596
"16","2007",3436.55217585161
"17","2007",3828.95767172217
"18","2007",626.188738622635
"19","2007",1299.14220073439
"20","2007",5687.61387919592
"1","2008",422919.263721659
"2","2008",1118141.13678062
"3","2008",966060.846097056
"4","2008",183274.915387153
"5","2008",297966.721765133
"6","2008",37035.3935381319
"7","2008",81824.3904466231
"8","2008",54198.6374897467
"9","2008",495089.701534784
"10","2008",54632.5796723306
"11","2008",17776.5499377596
"12","2008",17616.4673022108
"13","2008",10674.3463260847
"14","2008",11186.0475102384
"15","2008",7021.84921634167
"16","2008",1885.13283458441
"17","2008",1992.49154763104
"18","2008",2220.00581011196
"19","2008",363.060330553009
"20","2008",4050.87765942945
"1","2009",2990096.90352574
"2","2009",333279.824755468
"3","2009",850582.929682211
"4","2009",621033.801512992
"5","2009",133417.503201688
"6","2009",166267.29911242
"7","2009",20044.3637022124
"8","2009",44285.1468591867
"9","2009",29333.4861121512
"10","2009",267953.35744348
"11","2009",29568.3450970973
"12","2009",9621.0570020304
"13","2009",9534.41678404418
"14","2009",5777.18932088897
"15","2009",6054.13317546066
"16","2009",3800.37812773697
"17","2009",1020.27505457685
"18","2009",1078.37993440464
"19","2009",1201.51562134996
"20","2009",2388.91962465922
"1","2010",1387030.53785718
"2","2010",2374056.24774144
"3","2010",266466.652432572
"4","2010",600065.563617699
"5","2010",420619.312089555
"6","2010",96952.0565596348
"7","2010",103228.550092093
"8","2010",12444.7237282595
"9","2010",27494.8322688412
"10","2010",18211.9590362535
"11","2010",166361.255212887
"12","2010",18357.7733522465
"13","2010",5973.31988896658
"14","2010",5919.52852932987
"15","2010",3586.82002045188
"16","2010",3758.76310677712
"17","2010",2359.4989876075
"18","2010",633.446956445034
"19","2010",669.521894390846
"20","2010",2229.15405869721
"1","2011",9307983.30422596
"2","2011",1100775.9469712
"3","2011",1804769.08181262
"4","2011",198567.477608149
"5","2011",329861.600688552
"6","2011",242075.531560193
"7","2011",64943.0907430096
"8","2011",69147.384117391
"9","2011",8336.06682555436
"10","2011",18417.3441014205
"11","2011",12199.2348617369
"12","2011",111436.667532328
"13","2011",12296.9082138162
"14","2011",4001.21327336227
"15","2011",3965.18126667732
"16","2011",2402.62235101501
"17","2011",2517.79799405034
"18","2011",1580.50445032056
"19","2011",424.312847329744
"20","2011",1941.67078178673
"1","2012",599928.976575141
"2","2012",7375521.66864168
"3","2012",826068.228062727
"4","2012",967266.796764686
"5","2012",140221.277513038
"6","2012",222487.697165105
"7","2012",166723.776674284
"8","2012",44728.0123182668
"9","2012",47623.6195905336
"10","2012",5741.2681686916
"11","2012",12684.5086122848
"12","2012",8401.93346091912
"13","2012",76749.3598020521
"14","2012",8469.20366387663
"15","2012",2755.74067281706
"16","2012",2730.9244834362
"17","2012",1654.74911777139
"18","2012",1734.07360820616
"19","2012",1088.53492672156
"20","2012",1629.51506768763
"1","2013",701367.881877973
"2","2013",475724.447321121
"3","2013",5748124.13549272
"4","2013",607707.197264621
"5","2013",615225.999614829
"6","2013",100690.43626308
"7","2013",157363.519041994
"8","2013",117922.206664611
"9","2013",31635.7151781426
"10","2013",33683.7517929014
"11","2013",4060.74661341226
"12","2013",8971.63725446962
"13","2013",5942.61090843938
"14","2013",54284.1222079281
"15","2013",5990.19050946427
"16","2013",1949.11024459854
"17","2013",1931.55798018148
"18","2013",1170.38895912929
"19","2013",1226.49444774768
"20","2013",1922.45197151236
"1","2014",289953.88553638
"2","2014",556971.726097477
"3","2014",380255.56797431
"4","2014",4228427.28793361
"5","2014",455292.182305883
"6","2014",434984.189983861
"7","2014",67211.1548083387
"8","2014",105040.600001795
"9","2014",78713.4109417116
"10","2014",21116.9305568923
"11","2014",22484.0008674037
"12","2014",2710.56000351805
"13","2014",5988.59358220413
"14","2014",3966.70981431919
"15","2014",36234.807164994
"16","2014",3998.46933437776
"17","2014",1301.03667488295
"18","2014",1289.3204880756
"19","2014",781.237984831858
"20","2014",2101.93076048528
"1","2015",4952072.12101064
"2","2015",230042.060228888
"3","2015",433481.067928317
"4","2015",287491.669719459
"5","2015",3081334.65559126
"6","2015",331526.80454266
"7","2015",289813.148120767
"8","2015",44780.1938837354
"9","2015",69984.4906274498
"10","2015",52443.7024370644
"11","2015",14069.3943923977
"12","2015",14980.2204856551
"13","2015",1805.94133276189
"14","2015",3989.96836859472
"15","2015",2642.86538554894
"16","2015",24141.8510783702
"17","2015",2664.025525855
"18","2015",866.830434877168
"19","2015",859.024392586908
"20","2015",1920.94386390173
"1","2016",177101.735845185
"2","2016",3922184.92384051
"3","2016",181010.76844028
"4","2016",324725.644491212
"5","2016",217162.001685809
"6","2016",2230630.48420212
"7","2016",247043.887809754
"8","2016",215960.115046823
"9","2016",33368.8650278926
"10","2016",52150.3553078941
"11","2016",39079.4830573741
"12","2016",10484.0931176635
"13","2016",11162.8135593101
"14","2016",1345.73362361237
"15","2016",2973.20543771822
"16","2016",1969.38446863901
"17","2016",17989.7874549001
"18","2016",1985.15237414825
"19","2016",645.936189079154
"20","2016",2071.54943932229
"1","2017",3316138.19558377
"2","2017",138886.210398048
"3","2017",2754128.38141108
"4","2017",130757.925229122
"5","2017",225234.022966265
"6","2017",154929.554793419
"7","2017",1538899.03407607
"8","2017",170434.145420914
