"Predator_ID","month","year","latitude","longitude","predator_age","prey_name","prey_wt","prey_length","prey_age","source"
"11867",7,1995,37.8,-123.53,3,"other",5.205,20.1,NA,"CCTD"
"11867",7,1995,37.8,-123.53,3,"other",5.205,78.4,NA,"CCTD"
"11868",7,1995,37.8,-123.53,4,"other",0.91,38.5,NA,"CCTD"
"11868",7,1995,37.8,-123.53,4,"other",3.823,84.45,NA,"CCTD"
"11869",7,1995,37.8,-123.53,4,"other",4.02,58.3,NA,"CCTD"
"11869",7,1995,37.8,-123.53,4,"other",4.02,53.4,NA,"CCTD"
"11870",7,1995,37.8,-123.53,4,"other",2.298,40.2,NA,"CCTD"
"11870",7,1995,37.8,-123.53,4,"other",2.298,39.7,NA,"CCTD"
"11871",7,1995,37.8,-123.53,5,"other",4.82,76.1,NA,"CCTD"
"11873",7,1995,37.8,-123.53,5,"other",1.28,39.8,NA,"CCTD"
"11874",7,1995,37.8,-123.53,5,"other",10.706,70.3,NA,"CCTD"
"11874",7,1995,37.8,-123.53,5,"other",10.706,67.2,NA,"CCTD"
"11874",7,1995,37.8,-123.53,5,"other",10.706,66.8,NA,"CCTD"
"11876",7,1995,37.8,-123.53,6,"other",6.08,80.6,NA,"CCTD"
"11879",7,1995,37.8,-123.53,6,"other",6.327,57.05,NA,"CCTD"
"11879",7,1995,37.8,-123.53,6,"other",6.327,70.9,NA,"CCTD"
"11880",7,1995,37.8,-123.53,6,"other",10.17,80.35,NA,"CCTD"
"11880",7,1995,37.8,-123.53,6,"other",10.17,64.6,NA,"CCTD"
"11880",7,1995,37.8,-123.53,6,"other",10.17,58.4,NA,"CCTD"
"11881",7,1995,37.8,-123.53,6,"other",7.49,72.3,NA,"CCTD"
"11881",7,1995,37.8,-123.53,6,"other",7.49,64.9,NA,"CCTD"
"11882",7,1995,37.8,-123.53,6,"other",1.848,54.8,NA,"CCTD"
"11941",7,1995,38.13,-123.46,8,"Pacific Hake",77.82,229.05,1,"CCTD"
"11943",7,1995,38.13,-123.46,10,"Pacific Hake",61.86,278.5,1,"CCTD"
"11944",7,1995,38.13,-123.46,11,"Pacific Hake",92.14,273,1,"CCTD"
"11944",7,1995,38.13,-123.46,11,"Pacific Hake",92.14,250,1,"CCTD"
"11945",7,1995,38.13,-123.46,11,"Pacific Hake",238.88,270.59,1,"CCTD"
"11945",7,1995,38.13,-123.46,11,"Pacific Hake",238.88,237.79,1,"CCTD"
"11946",7,1995,38.13,-123.46,11,"Pacific Hake",69.495,249,1,"CCTD"
"11947",7,1995,38.13,-123.46,11,"Pacific Hake",144.17,296.5,2,"CCTD"
"11947",7,1995,38.13,-123.46,11,"Pacific Hake",144.17,210,1,"CCTD"
"11948",7,1995,38.13,-123.46,12,"Pacific Hake",129.95,257.4,1,"CCTD"
"11948",7,1995,38.13,-123.46,12,"Pacific Hake",129.95,241.6,1,"CCTD"
"11949",7,1995,38.13,-123.46,13,"Pacific Hake",14.07,272.8,1,"CCTD"
"11950",7,1995,38.13,-123.46,14,"Pacific Hake",113.56,250,1,"CCTD"
"11951",7,1995,38.13,-123.46,14,"Pacific Hake",217.51,240,1,"CCTD"
"11951",7,1995,38.13,-123.46,14,"Pacific Hake",217.51,270,1,"CCTD"
"11951",7,1995,38.13,-123.46,14,"Pacific Hake",217.51,255,1,"CCTD"
"11953",7,1995,38.14,-123.52,2,"other",1.67,57.4,NA,"CCTD"
"12017",7,1995,38.8,-124,3,"other",2.813,65.95,NA,"CCTD"
"12020",7,1995,38.8,-124,3,"other",6.473,83.09,NA,"CCTD"
"12023",7,1995,38.8,-124,3,"other",1.906,56.4,NA,"CCTD"
"12046",7,1995,39.3,-123.99,7,"Pacific Hake",64.22,207,1,"CCTD"
"12047",7,1995,39.3,-123.99,11,"Pacific Hake",83.64,280,1,"CCTD"
"12204",7,1995,40.31,-124.6,3,"other",0.976,46.05,NA,"CCTD"
"12236",7,1995,40.64,-124.57,6,"other",46.21,160.8,NA,"CCTD"
"12237",7,1995,40.64,-124.57,12,"Pacific Hake",245.01,203.17,1,"CCTD"
"12237",7,1995,40.64,-124.57,12,"Pacific Hake",245.01,214.1,1,"CCTD"
"12318",7,1995,41.46,-124.47,8,"other",49.099,112.85,NA,"CCTD"
"12318",7,1995,41.46,-124.47,8,"other",49.099,111,NA,"CCTD"
"12318",7,1995,41.46,-124.47,8,"other",49.099,121,NA,"CCTD"
"12318",7,1995,41.46,-124.47,8,"other",49.099,82.7,NA,"CCTD"
"12318",7,1995,41.46,-124.47,8,"other",49.099,116.2,NA,"CCTD"
"12318",7,1995,41.46,-124.47,8,"other",49.099,112.15,NA,"CCTD"
"12367",7,1995,41.64,-124.47,7,"other",2.157,57.2,NA,"CCTD"
"12368",7,1995,41.64,-124.47,9,"other",20.72,112.8,NA,"CCTD"
"12368",7,1995,41.64,-124.47,9,"other",20.72,88.6,NA,"CCTD"
"12488",7,1995,43.46,-124.9,5,"other",3.445,49.9,NA,"CCTD"
"12497",7,1995,43.46,-124.9,6,"other",13.841,198,NA,"CCTD"
"12524",7,1995,43.8,-125.14,6,"other",3.77,56.2,NA,"CCTD"
"12524",7,1995,43.8,-125.14,6,"other",3.77,51.8,NA,"CCTD"
"12527",7,1995,43.8,-125.14,6,"other",8.226,58.7,NA,"CCTD"
"12527",7,1995,43.8,-125.14,6,"other",8.226,64.1,NA,"CCTD"
"12564",7,1995,43.97,-124.96,6,"Pacific Hake",3.015,62.3,1,"CCTD"
"12564",7,1995,43.97,-124.96,6,"Pacific Hake",3.015,58.7,1,"CCTD"
"12564",7,1995,43.97,-124.96,6,"Pacific Hake",3.015,61.8,1,"CCTD"
"12573",8,1995,44.28,-124.93,3,"other",4.61,65.4,NA,"CCTD"
"12598",8,1995,44.28,-124.93,10,"other",3.364,68.9,NA,"CCTD"
"12622",8,1995,44.62,-124.78,6,"other",0.936,55,NA,"CCTD"
"12714",8,1995,45.12,-124.49,6,"other",34.94,164.5,NA,"CCTD"
"12716",8,1995,45.12,-124.49,7,"other",35.32,159.6,NA,"CCTD"
"12776",8,1995,45.45,-124.27,6,"other",21.85,139.4,NA,"CCTD"
"12787",8,1995,45.47,-124.66,6,"other",3.247,61.2,NA,"CCTD"
"12788",8,1995,45.47,-124.66,6,"other",6.388,70.3,NA,"CCTD"
"12788",8,1995,45.47,-124.66,6,"other",6.388,70.1,NA,"CCTD"
"12789",8,1995,45.47,-124.66,6,"other",5.413,84.3,NA,"CCTD"
"12790",8,1995,45.47,-124.66,6,"other",3.155,80.1,NA,"CCTD"
"12793",8,1995,45.47,-124.66,6,"other",7.756,58.2,NA,"CCTD"
"12793",8,1995,45.47,-124.66,6,"other",7.756,64.7,NA,"CCTD"
"12794",8,1995,45.79,-124.18,5,"other",27.093,137.5,NA,"CCTD"
